dayuserchgw,gt300,mktcap1_300,log_volume,log_users,mkt_ret,log_users_lag
12.0,1,31.59787,15.070686,6.58755,1.3,6.570883
12.0,1,31.59787,15.070686,6.58755,1.3,6.570883
12.0,1,31.59787,15.070686,6.58755,1.3,6.570883
9.0,1,33.369965,12.436874,3.7612002,0.41,3.5263605
-25.0,1,71.31552,15.026766,7.4702244,0.07,7.484369
18.0,1,64.48761,15.2801285,5.926926,0.85,5.8777356
18.0,1,64.48761,15.2801285,5.926926,0.85,5.8777356
0.0,1,25.0,15.138546,6.688355,0.72,6.688355
74.0,1,39.387115,15.025469,6.329721,-0.16,6.1882644
15.0,1,11.562225,14.236855,6.1717005,-0.16,6.1398845
0.0,1,19.535706,13.479641,7.3211884,-1.03,7.3211884
0.0,1,19.535706,13.479641,7.3211884,-1.03,7.3211884
0.0,1,19.535706,13.479641,7.3211884,-1.03,7.3211884
0.0,1,19.535706,13.479641,7.3211884,-1.03,7.3211884
0.0,1,43.072052,15.1505375,6.6515718,-0.7,6.6515718
0.0,1,43.072052,15.1505375,6.6515718,-0.7,6.6515718
142.0,1,33.95993,14.57489,6.7979403,1.06,6.6253924
-2.0,1,9.08963,11.178278,4.477337,1.06,4.4998097
0.0,1,65.05554,13.003033,4.317488,0.48,4.317488
0.0,1,65.05554,13.003033,4.317488,0.48,4.317488
0.0,1,48.979492,13.727773,5.7430034,0.16,5.7430034
8.0,1,26.81958,12.4419985,3.9318256,0.28,3.7612002
4.0,1,71.9606,15.256528,7.3901815,-0.09,7.387709
0.0,1,12.820953,13.057537,1.9459102,0.11,1.9459102
2.0,1,9.966797,13.113835,6.4409466,-0.7,6.437752
79.0,1,25.365631,14.751601,6.3613024,-0.7,6.214608
12.0,1,24.176178,11.931643,5.4930615,0.85,5.4424176
12.0,1,24.176178,11.931643,5.4930615,0.85,5.4424176
12.0,1,24.176178,11.931643,5.4930615,0.85,5.4424176
12.0,1,24.176178,11.931643,5.4930615,0.85,5.4424176
12.0,1,24.176178,11.931643,5.4930615,0.85,5.4424176
12.0,1,24.176178,11.931643,5.4930615,0.85,5.4424176
13.0,1,49.55374,13.024845,5.924256,0.85,5.888878
14.0,1,59.224243,15.384237,7.6192336,0.16,7.6123366
5.0,1,8.043091,13.963015,6.4583383,-0.82,6.4504704
11.0,1,23.462921,14.32871,3.9702919,-0.13,3.7376697
12.0,1,6.3897095,14.222151,6.2595816,-0.13,6.2363696
-1.0,1,52.128357,9.672752,5.7104273,0.46,5.7137327
-2.0,1,23.689972,16.22038,6.340359,0.46,6.3438807
29.0,1,7.9250183,14.291906,3.6888795,-0.46,2.3978953
29.0,1,7.9250183,14.291906,3.6888795,-0.46,2.3978953
0.0,1,46.752747,14.059793,6.419995,-0.46,6.419995
0.0,1,46.752747,14.059793,6.419995,-0.46,6.419995
0.0,1,46.752747,14.059793,6.419995,-0.46,6.419995
0.0,1,46.752747,14.059793,6.419995,-0.46,6.419995
2.0,1,19.23468,10.7744255,5.4293456,0.74,5.420535
5.0,1,10.1623535,17.396193,4.1271343,-0.18,4.0430512
5.0,1,10.1623535,17.396193,4.1271343,-0.18,4.0430512
5.0,1,10.1623535,17.396193,4.1271343,-0.18,4.0430512
0.0,1,38.599976,11.211834,4.060443,-0.18,4.060443
-3.0,1,19.23468,11.894194,5.3752785,0.37,5.389072
1.0,1,60.85263,7.757051,3.610918,0.12,3.583519
1.0,1,60.85263,7.757051,3.610918,0.12,3.583519
0.0,1,12.178467,10.972121,3.2580965,0.12,3.2580965
16.0,1,73.142914,12.8734,5.2832036,-0.13,5.198497
16.0,1,73.142914,12.8734,5.2832036,-0.13,5.198497
298.0,1,32.42578,15.151039,6.555357,-0.18,6.003887
298.0,1,32.42578,15.151039,6.555357,-0.18,6.003887
298.0,1,32.42578,15.151039,6.555357,-0.18,6.003887
298.0,1,32.42578,15.151039,6.555357,-0.18,6.003887
