bandwidth,poly_order,se,mde,paper_beta,detectable,n_obs
50,1,486.4502799521104,1362.0607838659091,95.71,No,249
50,2,498.1258421826476,1394.7523581114133,115.8,No,249
50,3,759.8194870448136,2127.494563725478,247.3,No,249
75,1,269.7162789369255,755.2055810233913,90.57,No,656
75,2,359.7751016407535,1007.3702845941098,109.8,No,656
75,3,379.93033660721073,1063.80494250019,97.18,No,656
100,1,59.64790586728151,167.0141364283882,77.55,No,1146
100,2,71.72879607256776,200.84062900318972,131.0,No,1146
100,3,72.64744765269083,203.41285342753432,174.8,No,1146
125,1,54.4740279941292,152.52727838356176,49.13,No,1566
125,2,68.4261736813109,191.5932863076705,102.3,No,1566
125,3,70.77183241307574,198.16113075661207,147.7,No,1566
