bandwidth,poly_order,method,beta1,se,t_stat,pvalue,ci_lower,ci_upper,ci_width,n_obs,covariates_used
50,1,nocov,1129.287735854681,486.45027995211035,2.3214864548250564,0.02026060430421648,165.57989349854938,2085.557256467994,1919.9773629694448,249,"log_volume, log_users, mkt_ret, log_users_lag"
50,1,ridge,289.3395250974078,105.68478330056278,2.7377595530904304,0.006185928510605146,79.4309116628325,501.4827929366588,422.0518812738263,249,"log_volume, log_users, mkt_ret, log_users_lag"
50,1,lasso,286.7666594589664,110.75547675111915,2.589187170430998,0.009620278849367683,64.84616652088474,490.1593080581242,425.3131415372395,249,"log_volume, log_users, mkt_ret, log_users_lag"
50,1,rf,604.9354633795193,434.4650272820187,1.392368603668634,0.1638108067672419,-241.14993212031436,1456.471269394488,1697.6212015148024,249,"log_volume, log_users, mkt_ret, log_users_lag"
50,1,lgbm,37.73506641474823,31.013390693860977,1.2167346288330154,0.22370519915261067,-23.05006238368896,98.52019521318542,121.57025759687437,249,"log_volume, log_users, mkt_ret, log_users_lag"
50,1,xgb,999.4577945295852,518.4669576645315,1.9277174364817935,0.05389028207386676,-23.506013480455067,2061.091322336469,2084.597335816924,249,"log_volume, log_users, mkt_ret, log_users_lag"
50,1,nnet,1072.0050469587782,468.3236674957671,2.2890259907021835,0.022077842314043226,154.10752555936313,1989.902568358193,1835.7950427988299,249,"log_volume, log_users, mkt_ret, log_users_lag"
50,1,sl,567.6890113542626,232.67866928231592,2.4397982552731063,0.014695466206940271,76.29122271294284,1023.730823118308,947.4396004053651,249,"log_volume, log_users, mkt_ret, log_users_lag"
50,2,nocov,1226.5182923395598,498.12584218264755,2.4622659345785016,0.013806225569537207,250.5869768380561,2206.8511905973082,1956.264213759252,249,"log_volume, log_users, mkt_ret, log_users_lag"
50,2,ridge,375.7952564558229,279.64298863979684,1.3438393656272858,0.1790003367823222,-215.90485655515022,917.7234034118578,1133.628259967008,249,"log_volume, log_users, mkt_ret, log_users_lag"
50,2,lasso,326.7425570028575,301.05588659154813,1.0853219337516535,0.2777790946538783,-307.9503451811845,888.0309674786308,1195.9813126598153,249,"log_volume, log_users, mkt_ret, log_users_lag"
50,2,rf,412.56332487939943,404.5360714895598,1.0198431090712927,0.30780287440352483,-396.26771284251146,1205.4394554462572,1601.7071682887686,249,"log_volume, log_users, mkt_ret, log_users_lag"
50,2,lgbm,34.08534290053231,71.23123384729148,0.47851681151004494,0.6322824116592651,-82.092824131042,168.21733999837943,250.31016412942142,249,"log_volume, log_users, mkt_ret, log_users_lag"
50,2,xgb,772.1927340530648,551.5629175522631,1.4000084296455553,0.161510794183507,-302.6150985562523,1859.006307713958,2161.62140627021,249,"log_volume, log_users, mkt_ret, log_users_lag"
50,2,nnet,1142.2157096676324,466.98898693797975,2.445915731668697,0.014448476618216684,235.83926722409535,2057.4973052429186,1821.6580380188234,249,"log_volume, log_users, mkt_ret, log_users_lag"
50,2,sl,471.8270758136083,658.5558216929882,0.7164572239307743,0.4737090715344634,-873.2396044405741,1827.2841525443578,2700.523756984932,249,"log_volume, log_users, mkt_ret, log_users_lag"
50,3,nocov,1203.240117867138,759.8194870448136,1.5835868102658595,0.11328777739489619,-291.9571014791968,2702.4839784136193,2994.441079892816,249,"log_volume, log_users, mkt_ret, log_users_lag"
50,3,ridge,449.0491102717174,365.7828813469101,1.2276383974509657,0.2195827409727953,-278.19207799146244,1103.2692592019416,1381.461337193404,249,"log_volume, log_users, mkt_ret, log_users_lag"
50,3,lasso,278.6979066562539,204.40230491494688,1.3634773187720262,0.1727321279105355,-115.9690385129627,673.3648518254705,789.3338903384332,249,"log_volume, log_users, mkt_ret, log_users_lag"
50,3,rf,278.1033539537723,459.8021852999672,0.6048326059441025,0.545290226398351,-645.8627339725602,1247.664299808207,1893.5270337807674,249,"log_volume, log_users, mkt_ret, log_users_lag"
50,3,lgbm,87.45689293548367,105.10738784249433,0.832071795624297,0.4053684206727478,-125.38971141903517,288.6077747851758,413.997486204211,249,"log_volume, log_users, mkt_ret, log_users_lag"
50,3,xgb,701.074900238322,433.39626901378057,1.6176302159537745,0.10574231323922693,-132.21521430898554,1550.5159785393644,1682.73119284835,249,"log_volume, log_users, mkt_ret, log_users_lag"
50,3,nnet,1194.6628308075035,740.5563227570884,1.6131964498794342,0.1067018345055688,-256.255044371464,2643.7745370880702,2900.0295814595343,249,"log_volume, log_users, mkt_ret, log_users_lag"
50,3,sl,348.8006810422239,364.2393691871289,0.9576138950071229,0.33825748990728277,-467.35977003077426,1069.6068087560438,1536.966578786818,249,"log_volume, log_users, mkt_ret, log_users_lag"
75,1,nocov,686.6678421328859,269.7162789369255,2.5458894985477185,0.010899968647905529,160.33703672385104,1218.7437636730695,1058.4067269492184,656,"log_volume, log_users, mkt_ret, log_users_lag"
75,1,ridge,242.13770734887152,85.00108606384538,2.8486425122497714,0.004390618438962337,73.48818265093374,410.7872320468093,337.2990493958756,656,"log_volume, log_users, mkt_ret, log_users_lag"
75,1,lasso,374.7622773248773,178.92148969290355,2.094562693213152,0.0362098845049761,51.795403187702476,725.4419531832227,673.6465499955202,656,"log_volume, log_users, mkt_ret, log_users_lag"
75,1,rf,135.1519153980687,49.67438995479223,2.7207564203821732,0.006513273501370658,30.25114097391605,231.64888536184532,201.39774438792927,656,"log_volume, log_users, mkt_ret, log_users_lag"
75,1,lgbm,17.192874765343248,9.485754157344827,1.8124942392725614,0.06990986325438346,-2.6107674595013783,39.351179588543786,41.96194704804516,656,"log_volume, log_users, mkt_ret, log_users_lag"
75,1,xgb,172.21250197895094,57.060768059822394,3.0180543976976213,0.002544032339829463,78.9774670346037,278.5488890131546,199.57142197855092,656,"log_volume, log_users, mkt_ret, log_users_lag"
75,1,nnet,586.1098969155202,235.66461525135972,2.4870509146669124,0.01288069631805813,112.31360162183307,1076.8789439070767,964.5653422852437,656,"log_volume, log_users, mkt_ret, log_users_lag"
75,1,sl,184.06035834644047,63.47095379209151,2.8999148011759424,0.003732641023606414,55.45643872427772,308.86873872489844,253.41230000062072,656,"log_volume, log_users, mkt_ret, log_users_lag"
75,2,nocov,809.8398973873992,359.7751016407535,2.250961485923084,0.024387976834251736,104.67871767029396,1519.8636568273039,1415.18493915701,656,"log_volume, log_users, mkt_ret, log_users_lag"
75,2,ridge,482.76246612449347,131.10479119371112,3.6822641013263806,0.0002311717442259695,227.5540648752036,748.1953163298396,520.641251454636,656,"log_volume, log_users, mkt_ret, log_users_lag"
