bandwidth,poly_order,method,beta1,se,t_stat,pvalue,ci_lower,ci_upper,ci_width,n_obs,covariates_used,seed
125,1,nocov,258.5404798355172,54.39756022844344,4.75279550681634,2.0062323521664754e-06,152.0594567909705,365.0215028800639,212.9620460890934,1566,"abs_ret, log_volume, log_users, mkt_ret, log_users_lag",42
125,1,ridge,41.60011998194094,39.10302661758884,1.0638593372521423,0.28739242605357607,-34.640068926611605,117.84030889049349,152.48037781710508,1566,"abs_ret, log_volume, log_users, mkt_ret, log_users_lag",42
125,1,lasso,42.54548309780043,39.03592738718834,1.0899057854012695,0.2757546478702736,-24.85014128638457,120.64035182901802,145.4904931154026,1566,"abs_ret, log_volume, log_users, mkt_ret, log_users_lag",42
125,1,rf,7.113508475473533,27.089224117627435,0.2625955045661366,0.7928623653346565,-46.02645167185065,58.7954822189549,104.82193389080555,1566,"abs_ret, log_volume, log_users, mkt_ret, log_users_lag",42
125,1,lgbm,13.952670351875211,21.808133576153935,0.6397920437873571,0.5223078058166188,-33.92050753172277,56.8779846925505,90.79849222427328,1566,"abs_ret, log_volume, log_users, mkt_ret, log_users_lag",42
125,1,xgb,12.619165783074745,21.509185591642417,0.5866872889868053,0.5574137461712294,-25.07636989886477,54.658735309730375,79.73510520859514,1566,"abs_ret, log_volume, log_users, mkt_ret, log_users_lag",42
125,1,nnet,77.31844000252892,33.44200588687228,2.312015620835723,0.02077682249819431,17.034694837793378,141.88346413642495,124.84876929863157,1566,"abs_ret, log_volume, log_users, mkt_ret, log_users_lag",42
125,1,sl,9.531931597249255,22.72703984177506,0.41940928794996024,0.6749170373312298,-32.87190974581842,56.32681315392007,89.1987228997385,1566,"abs_ret, log_volume, log_users, mkt_ret, log_users_lag",42
125,1,nocov,259.74296719998904,54.41663834818921,4.773226996089007,1.8129725164615646e-06,152.9518779025086,366.5340564974696,213.58217859496096,1566,"abs_ret, log_volume, log_users, mkt_ret, log_users_lag",123
125,1,ridge,43.46761355467977,38.50967156362487,1.1287453719999532,0.2590052632544825,-32.15764738636794,119.09287449572749,151.25052188209543,1566,"abs_ret, log_volume, log_users, mkt_ret, log_users_lag",123
125,1,lasso,50.6535169903043,36.19490060714696,1.3994655639502536,0.16167341785701883,-22.04189037055952,116.83136116486759,138.8732515354271,1566,"abs_ret, log_volume, log_users, mkt_ret, log_users_lag",123
125,1,rf,2.4347371107467826,25.490542538890182,0.09551531149375007,0.9239055290490161,-47.57123321990019,55.34007196136297,102.91130518126317,1566,"abs_ret, log_volume, log_users, mkt_ret, log_users_lag",123
125,1,lgbm,6.74286724295181,25.661008303741617,0.2627670418534815,0.7927301398632063,-37.828728961282295,59.572534657308395,97.40126361859069,1566,"abs_ret, log_volume, log_users, mkt_ret, log_users_lag",123
125,1,xgb,13.265121341788127,19.63028523401346,0.6757477633999738,0.499200805075392,-24.970367988970978,53.19142189645933,78.16178988543031,1566,"abs_ret, log_volume, log_users, mkt_ret, log_users_lag",123
125,1,nnet,79.00857571582351,33.30533324327576,2.3722499678568774,0.017680124915337145,22.989715659278037,135.10246456033065,112.11274890105261,1566,"abs_ret, log_volume, log_users, mkt_ret, log_users_lag",123
125,1,sl,14.78602276073083,23.27477797078053,0.6352809371283112,0.5252452041181098,-29.82930038097165,56.839092832379734,86.66839321335138,1566,"abs_ret, log_volume, log_users, mkt_ret, log_users_lag",123
125,1,nocov,261.8988787359924,54.44074550205595,4.810714407393665,1.5039177846131983e-06,154.8390840294079,368.9586734425769,214.11958941316902,1566,"abs_ret, log_volume, log_users, mkt_ret, log_users_lag",456
125,1,ridge,40.750930937497344,38.64363951683878,1.0545313911165204,0.2916396965251222,-35.29051034044548,116.79237221544017,152.08288255588565,1566,"abs_ret, log_volume, log_users, mkt_ret, log_users_lag",456
125,1,lasso,34.91737325872923,31.451424673505652,1.1102000504334308,0.2669128310592318,-29.413810169821314,95.55801917510296,124.97182934492427,1566,"abs_ret, log_volume, log_users, mkt_ret, log_users_lag",456
125,1,rf,3.627974852688398,25.459472803651163,0.14249999914248448,0.8866850800482686,-45.13959942703329,53.516798263735836,98.65639769076913,1566,"abs_ret, log_volume, log_users, mkt_ret, log_users_lag",456
125,1,lgbm,12.292087450209703,24.11157501431783,0.5098002699081445,0.6101913965792041,-36.20090736261722,67.06712864686683,103.26803600948406,1566,"abs_ret, log_volume, log_users, mkt_ret, log_users_lag",456
125,1,xgb,12.424453393130257,19.68345524026017,0.6312130284787355,0.5279012443679636,-26.858888312038275,49.17912137648523,76.0380096885235,1566,"abs_ret, log_volume, log_users, mkt_ret, log_users_lag",456
125,1,nnet,104.28752567245274,34.449345320419084,3.0272716274418903,0.0024677210101863604,38.56985006562621,173.71652826649898,135.14667820087277,1566,"abs_ret, log_volume, log_users, mkt_ret, log_users_lag",456
125,1,sl,16.41684464051761,23.32141967081486,0.7039384768270412,0.48147108840728725,-28.581336928801907,61.75251312636334,90.33385005516524,1566,"abs_ret, log_volume, log_users, mkt_ret, log_users_lag",456
125,1,nocov,260.41271439016737,54.45574660260822,4.782097953601367,1.7347510475808538e-06,153.83403300617988,366.99139577415485,213.15736276797497,1566,"abs_ret, log_volume, log_users, mkt_ret, log_users_lag",789
125,1,ridge,39.11866593627978,38.661300925937184,1.0118300470855537,0.3116193207524419,-35.886063892371496,114.31302941587094,150.19909330824242,1566,"abs_ret, log_volume, log_users, mkt_ret, log_users_lag",789
