method,param,value
rf_g,n_estimators,450.0
rf_g,max_depth,3.0
rf_g,min_samples_split,18.0
rf_g,min_samples_leaf,7.0
rf_g,max_features,0.3
lgbm_g,n_estimators,50.0
lgbm_g,max_depth,13.0
lgbm_g,learning_rate,0.09033775094656361
lgbm_g,num_leaves,96.0
lgbm_g,min_child_samples,40.0
lgbm_g,subsample,0.5
lgbm_g,colsample_bytree,0.6000000000000001
lgbm_g,reg_alpha,5.9731490804053596e-05
lgbm_g,reg_lambda,6.052070251170371
xgb_g,n_estimators,550.0
xgb_g,max_depth,8.0
xgb_g,learning_rate,0.006047360568422396
xgb_g,min_child_weight,10.0
xgb_g,gamma,9.371559479423412e-05
xgb_g,subsample,0.5
xgb_g,colsample_bytree,1.0
xgb_g,reg_alpha,29.426595861790908
xgb_g,reg_lambda,2.6027328087893213
rf_m,n_estimators,200.0
rf_m,max_depth,10.0
rf_m,min_samples_split,10.0
rf_m,min_samples_leaf,1.0
rf_m,max_features,1.0
lgbm_m,n_estimators,750.0
lgbm_m,max_depth,2.0
lgbm_m,learning_rate,0.2652261985899886
lgbm_m,num_leaves,108.0
lgbm_m,min_child_samples,13.0
lgbm_m,subsample,0.6
lgbm_m,colsample_bytree,0.5
lgbm_m,reg_alpha,0.001091715960636516
lgbm_m,reg_lambda,0.032758770621002846
xgb_m,n_estimators,450.0
xgb_m,max_depth,5.0
xgb_m,learning_rate,0.061226156060280326
xgb_m,min_child_weight,3.0
xgb_m,gamma,0.00046229967585526547
xgb_m,subsample,0.7
xgb_m,colsample_bytree,0.65
xgb_m,reg_alpha,1.8191571323275593
xgb_m,reg_lambda,0.00021757484225833835
