fret,high_flow,price_dist,lag_ret,vol,vol_x_lagret,hour_of_day,day_of_week,lag_ret_eth,lag_ret_xrp,lag_ret_neg,netflow_bitt,netflow_huob,netflow_krak,netflow_aggplbt
63.628635,0,238.24402,0.0033750182,0.026986746,9.108076e-05,14,1,-0.006530469,0.011647265,1,1.8188381,0.0,0.0,6.2689404
48.72544,1,230.54395,-0.006218543,0.028268643,-0.00017578977,15,1,0.0,0.004934171,1,0.0,0.0,23.766,43.65194
-10.345968,0,-245.896,0.003976378,0.030721955,0.0001221621,18,1,0.00036439198,0.04376016,1,0.0,0.0,0.0,3.2220955
-23.888342,0,-248.948,0.0022190656,0.03143621,6.975901e-05,20,1,0.0015812967,0.006191998,1,0.0,0.0,0.0,13.0281925
19.8105,1,244.37,0.0023722304,0.03167199,7.5133255e-05,22,1,-0.0077895112,-0.016949138,1,0.45470002,0.0,0.0,85.28703
-134.09822,0,237.75195,0.0034332608,0.03399151,0.00011670171,2,2,-0.00224358,-0.011904784,1,0.0,0.0,2.24975,3.6332338
-92.38784,0,232.15295,-0.0045235227,0.03412367,-0.0001543592,3,2,-0.013813011,0.0,1,0.0,0.0,0.0,10.753862
-19.840168,1,208.05798,-0.019555178,0.039346114,-0.00076942024,4,2,-0.0072747436,-0.0045180367,1,0.0,0.0,45.381935,25.601765
61.78491,0,189.42297,-0.015425592,0.039788876,-0.00061376696,5,2,-0.017609024,0.0015128708,1,0.0,0.0,0.0,10.514176
102.331184,0,183.18005,-0.005248696,0.041318838,-0.00021687002,6,2,-0.022489492,-0.025679743,1,0.0,0.0,1.02389,-40.99755
-43.96628,1,218.45898,0.005982409,0.04843946,0.0002897847,11,2,0.0054191938,0.010654429,1,0.0,0.0,0.0,164.68677
-50.49551,1,207.36499,-0.009104938,0.043292325,-0.00039417396,12,2,-0.010833839,-0.022590324,1,0.0,0.0,0.0,49.36431
-17.025305,1,203.48999,-0.0032094687,0.04330902,-0.00013899895,13,2,-0.016455974,0.013867451,1,0.0,0.0,21.4335,139.07515
-7.341853,0,200.51904,-0.00246861,0.04326189,-0.00010679673,14,2,-0.012188328,-0.0045592347,1,0.14793578,0.0,0.0,-5.155714
6.9413633,1,191.50098,-0.007511806,0.043199055,-0.00032450294,15,2,-0.012338717,0.01526715,1,0.00094951,0.0,-19.0,53.384823
-57.28314,0,194.31897,0.007572451,0.043436445,0.00032892037,17,2,0.0074371323,0.022522554,1,0.0,0.0,0.0,2.49995
-65.413315,1,188.81702,-0.0046067704,0.04319877,-0.00019900683,18,2,0.013174244,0.0044052512,1,0.0,0.0,0.0,43.725025
-34.24581,1,187.76697,-0.00088327203,0.043182235,-3.814166e-05,19,2,-0.005324477,-0.0014619995,1,-0.00224566,0.0,0.0,210.42404
-52.870125,1,177.52905,-0.008619464,0.04303305,-0.0003709218,20,2,-0.016735166,-0.0073206318,1,2.1594748,0.0,-1.570265,40.231853
-84.17015,1,168.48303,-0.0076822056,0.043188233,-0.00033178087,21,2,-0.013008663,-0.011799431,1,0.75479996,0.0,0.0,79.03082
25.884167,0,165.45203,0.0007307861,0.042308047,3.0918134e-05,23,2,-0.007806628,0.010852651,1,0.0,0.0,0.0,0.95
52.04831,1,149.98706,-0.0132695,0.043157455,-0.0005726778,0,3,-0.030532585,-0.0030674366,1,0.0,0.0,0.0,24.963684
58.615437,0,158.72998,0.012664283,0.044501778,0.0005635831,3,3,0.022049995,0.018604647,1,-49.0,0.0,0.0,-31.924887
75.617455,0,153.09497,-0.0048630913,0.040760424,-0.00019822166,4,3,-0.008279895,-0.015220745,1,0.0,0.0,0.0,-3.4990745
13.455105,1,184.28601,0.008516652,0.037623048,0.00032042238,9,3,0.010875818,-0.004601191,1,0.0,0.0,0.0,70.02795
5.7371783,1,175.86902,-0.0071072294,0.037361275,-0.00026553517,10,3,-0.012683976,0.0015408437,1,0.0,0.0,0.19975,28.666298
39.355606,1,173.19604,-0.0022731898,0.035821788,-8.1429724e-05,11,3,-0.03561598,0.009230767,1,0.0,0.0,0.38311,83.677
90.13559,0,180.54102,0.0108375335,0.0376883,0.00040844822,13,3,0.014893665,0.009202453,1,0.0,0.0,-1.6409919,9.138533
-1.4553779,1,207.172,0.012760441,0.038936846,0.00049685134,17,3,0.02285712,-0.03647416,1,0.0,0.0,0.0,34.189857
4.0193357,0,200.79797,-0.0052801287,0.03978812,-0.0002100864,18,3,-0.0028490887,0.01104102,1,0.0,0.0,-0.03042123,-7.0108767
-23.260319,1,200.52197,0.0011065977,0.03864845,4.2768286e-05,20,3,0.002256115,0.0,1,0.033345755,0.0,3.66025,39.854317
34.088326,0,200.64099,0.0003074458,0.037728027,1.1599323e-05,22,3,0.0007361298,0.0031152884,1,0.01785774,0.0,0.0,0.11282769
-2.7373514,0,202.5,0.008924652,0.036545664,0.00032615734,1,4,0.0011829601,0.0030864433,1,0.0,0.0,0.0,0.0
-7.565306,0,200.95703,-0.0012831341,0.037015393,-4.7495712e-05,2,4,-0.0081022335,0.003076875,1,0.0,0.0,0.0,0.04995
