fret,below_cutoff,price_dist,lag_ret,vol,vol_x_lagret,hour_of_day,day_of_week,lag_ret_eth,lag_ret_xrp,lag_ret_neg,netflow_bitt,netflow_huob,netflow_krak,netflow_aggplbt
33.657093,0.0,28.935059,0.013688159,0.053106572,0.0007269312,10,0,-0.003237149,-0.017725255,0,0.0,0.0,0.441935,114.794716
-21.881311,0.0,39.073975,0.009853796,0.052823573,0.0005205127,11,0,0.018457966,0.009022555,0,0.0,0.0,0.0,76.58645
-11.757785,0.0,45.876953,0.0065471553,0.05296063,0.00034674146,12,0,0.008258789,-0.0029805794,0,-0.017714344,0.0,148.61665,-2.8441868
-0.11150104,0.0,47.474,0.0015269922,0.05290567,8.078654e-05,13,0,0.012514203,0.016442437,0,-0.25156835,0.0,0.05589,-0.25156835
21.079374,0.0,49.593018,0.0020229795,0.05204271,0.00010528134,14,0,0.011011274,0.0014705994,1,-0.010749999,0.0,-2.739155,122.854065
10.191999,0.0,38.97705,-0.010114365,0.052537616,-0.00053138466,15,0,-0.024227608,-0.008810571,0,-0.0034196519,0.0,0.304115,-13.893971
-47.647743,0.0,43.718994,0.00456405,0.04483481,0.00020462832,16,0,0.007380353,0.0059259017,0,0.0,0.0,0.0,42.09507
-55.500957,0.0,49.47705,0.005516865,0.04028223,0.00022223163,17,0,0.017094802,0.008836523,1,0.0,0.0,-13.15,-6.0716515
-11.997925,0.0,45.534058,-0.0037571029,0.037124902,-0.00013948207,18,0,-0.012183201,0.020437976,0,-0.06103986,0.0,0.0,29.034466
25.428938,0.0,46.89099,0.0012978378,0.0361471,4.6913072e-05,19,0,-0.032454032,-0.02002863,1,0.016178975,0.0,7.49975,-98.96786
40.129185,0.0,34.500977,-0.011835057,0.036463246,-0.0004315446,20,0,-0.011304956,0.008759122,1,0.41035,0.0,6.5745,-19.2892
23.329441,0.0,28.177002,-0.0061130677,0.03641548,-0.0002226103,21,0,0.0041172416,-0.0101302555,0,-0.175,0.0,0.0,-48.310272
32.351242,0.0,42.930054,0.014348747,0.03693108,0.0005299147,22,0,0.008224136,0.023391856,1,0.84955,0.0,-0.5,-47.88511
43.934914,0.0,42.296997,-0.00060699816,0.03694425,-2.2425093e-05,23,0,-0.014338847,-0.0028571645,1,7.5068336,0.0,-1.36112,-53.31956
48.4054,0.0,40.521973,-0.001702993,0.03251037,-5.536493e-05,0,1,-0.008228586,-0.011461339,0,0.0,0.0,3.74975,29.466478
-32.139843,0.0,48.43701,-0.009707952,0.046961457,-0.00045589957,9,2,-0.01133119,-0.012875567,0,0.0,0.0,0.0,258.02087
-12.010652,0.0,20.94397,-0.032032855,0.06144362,-0.0019682145,14,2,-0.004395957,0.01388893,1,0.39990002,0.0,-0.04484859,174.56749
-44.584763,0.0,20.124023,-0.0008031257,0.061502624,-4.9394337e-05,15,2,0.00012617809,0.023287656,1,0.5982767,0.0,7.49975,18.019077
-27.665335,0.0,17.802002,-0.0022762148,0.061700083,-0.00014044264,16,2,-0.02346116,-0.042838033,0,0.0,0.0,0.0,-0.5448373
-18.043858,0.0,24.801025,0.006876606,0.060929168,0.00041898587,17,2,0.019814057,0.016783215,1,0.0,0.0,0.0,-1.0587895
43.992535,0.0,16.393982,-0.008203587,0.05912059,-0.0004850009,18,2,0.0021024947,-0.015130661,1,-1.1300309,0.0,-5.0,-8.043726
22.010647,0.0,4.1480103,-0.012048449,0.06092699,-0.00073407573,19,2,0.025075752,0.012569798,0,4.346832,0.0,-14.7,83.80957
86.36653,0.0,16.150024,0.011952436,0.061466713,0.0007346769,20,2,0.0075459555,-0.01241376,1,1.0049,0.0,-27.259,-53.979057
46.94351,0.0,10.747009,-0.005317143,0.060066033,-0.0003193797,21,2,-0.007905474,0.0111732045,0,2.6499002,0.0,72.49975,1.2267867
17.587793,0.0,17.380005,0.0065624686,0.058019977,0.00038075427,22,2,0.004366645,-0.019337034,0,0.0,0.0,1.99975,32.874
-23.730265,0.0,22.830994,0.005357869,0.057657275,0.00030892013,23,2,0.012772564,0.016901406,0,-2.4351,0.0,-8.4,73.165344
14.790384,0.0,37.140015,0.013989624,0.060485214,0.0008461654,0,3,0.0055054617,-0.004155156,1,0.0,0.0,-2.5,89.46131
-14.543751,0.0,31.680054,-0.0052644396,0.0603977,-0.00031796005,1,3,0.020019824,0.011126585,1,-19.7341,0.0,0.0,-22.335533
-32.509884,0.0,28.121948,-0.0034488458,0.0604362,-0.00020843514,2,3,-0.010901235,0.013755135,0,-0.05,0.0,0.0,138.45749
-22.802269,0.0,29.760986,0.0015942059,0.06044462,9.636117e-05,3,3,-0.006646263,-0.0027136619,0,-1.943,0.0,0.0,6.2923465
47.7253,0.0,36.23999,0.006291755,0.06070243,0.0003819248,4,3,-0.007509032,0.012244864,1,-4.0,0.0,0.0,-20.924845
60.608646,0.0,23.546997,-0.012249086,0.06083992,-0.00074523344,5,3,-0.0009942375,-0.017473126,1,0.19278495,0.0,0.0,-23.474564
5.1696672,0.0,19.661987,-0.003795634,0.060644202,-0.0002301832,6,3,-0.011821237,0.0,0,0.0,0.0,0.0,0.6811433
-3.7236683,0.0,29.046997,0.00920404,0.060949646,0.00056098297,7,3,0.0009825821,0.027359799,0,0.0,0.0,34.99975,-0.048957624
20.146662,0.0,38.214966,0.008909184,0.05939773,0.0005291853,8,3,0.00574236,0.025299607,0,0.0,0.0,0.0,10.89475
55.076233,0.0,38.286987,6.937049e-05,0.057184584,3.966923e-06,9,3,-0.011394761,0.0,1,-0.75,0.0,0.0,18.861574
43.613567,0.0,30.574951,-0.0074276538,0.056672685,-0.00042094509,10,3,0.0077499077,0.005194784,0,-5.4541645,0.0,0.0,-5.156354
