method,design,sample,adjustment,coef,tstat,se,ci_low,ci_high,n,pval
Paper (Griffin & Shams 2020),first_stage,All,none (OLS),14.38,2.69,5.345724907063198,3.9023791821561336,24.857620817843866,1602,
Paper (Griffin & Shams 2020),first_stage,Auth,none (OLS),34.22,2.87,11.92334494773519,10.850243902439026,57.58975609756097,464,
Paper (Griffin & Shams 2020),first_stage,NoAuth,none (OLS),3.82,0.92,4.152173913043478,-4.318260869565215,11.958260869565216,1138,
Paper (Griffin & Shams 2020),sharp,Auth,none (OLS),20.61,2.42,8.516528925619834,3.917603305785125,37.30239669421488,464,
Paper (Griffin & Shams 2020),sharp,NoAuth,none (OLS),-3.4,-0.74,4.594594594594595,-12.405405405405405,5.6054054054054046,1138,
Paper (Griffin & Shams 2020),sharp,Auth_NegRet,none (OLS),32.87,2.58,12.740310077519378,7.898992248062015,57.84100775193798,214,
Paper (Griffin & Shams 2020),sharp,Auth_PosRet,none (OLS),11.91,1.29,9.232558139534884,-6.185813953488374,30.005813953488374,250,
Paper (Griffin & Shams 2020),fuzzy,All,none (OLS),26.42,2.06,12.825242718446603,1.282524271844661,51.55747572815534,1602,
Paper (Griffin & Shams 2020),fuzzy,Auth,none (OLS),33.88,2.05,16.526829268292687,1.4874146341463401,66.27258536585367,464,
Paper (Griffin & Shams 2020),fuzzy,Auth_NegRet,none (OLS),45.34,2.37,19.130801687763714,7.84362869198312,82.83637130801688,214,
Paper (Griffin & Shams 2020),fuzzy,Auth_PosRet,none (OLS),20.17,1.3,15.515384615384615,-10.240153846153845,50.58015384615385,250,
OLS replication,first_stage,All,none (OLS),14.75,2.02,7.3,,,1603,0.0433
OLS replication,first_stage,Auth,none (OLS),60.83,3.52,17.26,,,464,0.0004
OLS replication,first_stage,NoAuth,none (OLS),0.22,0.03,7.57,,,1139,0.9767
OLS replication,sharp,Auth,none (OLS),20.61,2.43,8.49,,,464,0.0152
OLS replication,sharp,NoAuth,none (OLS),-3.4,-0.75,4.56,,,1138,0.4562
OLS replication,sharp,Auth_NegRet,none (OLS),32.87,2.59,12.69,,,214,0.0096
OLS replication,sharp,Auth_PosRet,none (OLS),11.91,1.29,9.23,,,250,0.1967
IV2SLS replication,fuzzy,All,none (2SLS),26.42,2.01,13.12,,,1602,0.0441
IV2SLS replication,fuzzy,Auth,none (2SLS),33.88,2.0,16.97,,,464,0.0458
IV2SLS replication,fuzzy,Auth_NegRet,none (2SLS),45.34,2.43,18.68,,,214,0.0152
IV2SLS replication,fuzzy,Auth_PosRet,none (2SLS),22.92,1.03,22.33,,,250,0.3046
RDFlex,sharp,Auth,no covariates,-27.11,-1.33,20.32,-66.95,12.73,464,0.1821
RDFlex,sharp,Auth,linear (Ridge),-27.6,-1.35,20.41,-67.61,12.4,464,0.1763
RDFlex,sharp,Auth,ML (RandomForest),-25.11,-1.24,20.22,-64.83,14.54,464,0.2143
RDFlex,sharp,Auth,ML (LightGBM),-22.63,-1.07,21.24,-63.97,19.48,464,0.2867
RDFlex,sharp,Auth,ML (XGBoost),-26.72,-1.29,20.71,-67.96,13.71,464,0.197
RDFlex,sharp,Auth,lasso+interactions,-27.0,-1.33,20.31,-66.8,12.81,464,0.1837
RDFlex,sharp,Auth,ML (NNet),-20.97,-1.01,20.77,-62.11,20.19,464,0.3127
RDFlex,sharp,Auth,ML (SuperLearner),-22.71,-1.1,20.69,-62.44,17.12,464,0.2724
RDFlex,sharp,NoAuth,no covariates,19.02,2.19,8.67,2.01,36.0,1138,0.0283
RDFlex,sharp,NoAuth,linear (Ridge),19.73,2.24,8.81,2.5,36.97,1138,0.0251
