method,design,sample,adjustment,coef,se,tstat,pval,ci_low,ci_high,n,seed
RDFlex,sharp,Auth,linear (Ridge),-28.99,20.44,-1.42,0.1561,-69.21,11.22,464,42
RDFlex,sharp,Auth,ML (RandomForest),-26.54,20.3,-1.31,0.1911,-65.59,13.23,464,42
RDFlex,sharp,Auth,ML (LightGBM),-23.07,21.61,-1.07,0.2859,-65.25,19.29,464,42
RDFlex,sharp,Auth,ML (XGBoost),-28.93,20.62,-1.4,0.1606,-69.28,11.41,464,42
RDFlex,sharp,Auth,lasso+interactions,-27.63,20.33,-1.36,0.1741,-67.37,12.19,464,42
RDFlex,sharp,Auth,ML (NNet),-19.32,20.28,-0.95,0.3408,-59.0,20.36,464,42
RDFlex,sharp,Auth,ML (SuperLearner),-25.54,20.6,-1.24,0.2152,-65.0,14.12,464,42
RDFlex,sharp,Auth,linear (Ridge),-28.21,20.75,-1.36,0.1738,-69.61,12.8,464,123
RDFlex,sharp,Auth,ML (RandomForest),-25.23,20.36,-1.24,0.2152,-64.72,14.67,464,123
RDFlex,sharp,Auth,ML (LightGBM),-20.04,21.52,-0.93,0.3516,-60.31,21.59,464,123
RDFlex,sharp,Auth,ML (XGBoost),-25.13,20.85,-1.21,0.2282,-66.65,15.48,464,123
RDFlex,sharp,Auth,lasso+interactions,-27.42,20.28,-1.35,0.1763,-67.11,12.27,464,123
RDFlex,sharp,Auth,ML (NNet),-21.52,20.55,-1.05,0.295,-60.82,18.37,464,123
RDFlex,sharp,Auth,ML (SuperLearner),-26.33,20.26,-1.3,0.1937,-66.03,13.36,464,123
RDFlex,sharp,Auth,linear (Ridge),-30.11,20.68,-1.46,0.1454,-70.49,10.6,464,456
RDFlex,sharp,Auth,ML (RandomForest),-24.63,20.26,-1.22,0.2242,-64.34,15.09,464,456
RDFlex,sharp,Auth,ML (LightGBM),-21.83,21.71,-1.01,0.3145,-63.9,19.96,464,456
RDFlex,sharp,Auth,ML (XGBoost),-25.81,20.71,-1.25,0.2127,-66.36,15.32,464,456
RDFlex,sharp,Auth,lasso+interactions,-27.54,20.3,-1.36,0.175,-67.32,12.25,464,456
RDFlex,sharp,Auth,ML (NNet),-19.58,20.47,-0.96,0.3389,-60.16,21.0,464,456
RDFlex,sharp,Auth,ML (SuperLearner),-23.97,20.39,-1.18,0.2397,-63.92,15.98,464,456
RDFlex,sharp,Auth,linear (Ridge),-29.65,20.68,-1.43,0.1517,-69.89,10.59,464,789
RDFlex,sharp,Auth,ML (RandomForest),-25.99,20.25,-1.28,0.1994,-65.42,13.45,464,789
RDFlex,sharp,Auth,ML (LightGBM),-25.16,21.19,-1.19,0.235,-66.62,17.77,464,789
RDFlex,sharp,Auth,ML (XGBoost),-26.55,20.98,-1.27,0.2057,-68.33,14.18,464,789
RDFlex,sharp,Auth,lasso+interactions,-27.2,20.29,-1.34,0.1801,-66.98,12.73,464,789
RDFlex,sharp,Auth,ML (NNet),-19.68,20.86,-0.94,0.3456,-61.38,21.58,464,789
RDFlex,sharp,Auth,ML (SuperLearner),-24.69,20.56,-1.2,0.23,-64.45,15.43,464,789
RDFlex,sharp,Auth,linear (Ridge),-28.79,20.39,-1.41,0.1581,-69.03,11.3,464,2024
RDFlex,sharp,Auth,ML (RandomForest),-24.21,20.39,-1.19,0.235,-64.17,15.75,464,2024
RDFlex,sharp,Auth,ML (LightGBM),-23.83,21.43,-1.11,0.2661,-65.63,17.96,464,2024
RDFlex,sharp,Auth,ML (XGBoost),-25.9,20.8,-1.25,0.2131,-66.91,14.69,464,2024
RDFlex,sharp,Auth,lasso+interactions,-27.03,20.33,-1.33,0.1836,-66.84,12.78,464,2024
RDFlex,sharp,Auth,ML (NNet),-22.21,20.43,-1.09,0.2769,-62.1,17.4,464,2024
RDFlex,sharp,Auth,ML (SuperLearner),-22.09,20.42,-1.08,0.2794,-63.57,17.92,464,2024
