depvar,bandwidth,time,method,coef,se,t_stat,pvalue,ci_lower,ci_upper,ci_width,n_obs,bw_type
approved,0.033362958393878,1,nocov,0.04742539283754007,0.015036896602328464,3.153934890407921,0.0016108502025046034,0.017955816386929495,0.07689496928815065,0.058939152901221155,28150,auto
approved,0.03280306221495841,1,ridge,0.041998646690016565,0.015143908427389267,2.773303001096984,0.005549042653417758,0.012320337550470087,0.07172139671723249,0.0594010591667624,28150,auto
approved,,1,lasso,,,,,,,,28150,auto
approved,0.04737785029774424,1,rf,0.013327347614948106,0.013661410357368318,0.9755469798738581,0.32928900980875553,-0.013589213766962382,0.04053986802270572,0.054129081789668104,28150,auto
approved,0.05540205041752416,1,lgbm,0.0009945030254765626,0.013820197931143186,0.07196011449557428,0.9426336495454176,-0.025931740605397016,0.027967786405236002,0.05389952701063302,28150,auto
approved,0.07806541502443562,1,xgb,0.0023577457846891492,0.011919287319456639,0.19780929190627405,0.8431942759336799,-0.020980234359578038,0.026512897763245412,0.04749313212282345,28150,auto
approved,0.029782798225268817,1,nnet,0.03616588857544856,0.016613397669424223,2.176911026575214,0.029487206555731622,0.003164264475070351,0.06859320255216683,0.06542893807709649,28150,auto
approved,,1,sl,,,,,,,,28150,auto
approved,0.03448329727229633,2,nocov,0.07689978626807498,0.020349892293274465,3.7788792765989214,0.00015753577008892667,0.03702631856798739,0.11679877934226579,0.07977246077427841,19944,auto
approved,0.03452676221440312,2,ridge,0.07236863312544406,0.020031809440577173,3.6126857805891204,0.0003030418419607417,0.0331039370882875,0.11157761963433403,0.07847368254604653,19944,auto
approved,,2,lasso,,,,,,,,19944,auto
approved,0.077249669503901,2,rf,0.030173871219648603,0.014632319147640493,2.062138675024337,0.03919453518128689,0.001768735773960542,0.06042160347295261,0.05865286769899207,19944,auto
approved,0.06841329949676193,2,lgbm,0.042229927474630724,0.016111085898608237,2.6211720141271653,0.008762803545009992,0.010138200333926397,0.07408671302889674,0.06394851269497034,19944,auto
approved,0.05940861734793519,2,xgb,0.04799860830830889,0.016775281863119818,2.8612698552525093,0.004219477303421142,0.015575684888142816,0.0808207505229021,0.06524506563475928,19944,auto
approved,0.03216848624069402,2,nnet,0.07965793134788099,0.020867631162407335,3.817296305839607,0.00013492209725965033,0.03866683278533933,0.1211177042236892,0.08245087143834987,19944,auto
approved,,2,sl,,,,,,,,19944,auto
approved,0.035686878605151816,3,nocov,0.04468665531423651,0.022346773939110127,1.9996915633548482,0.04553357975576532,0.0008904440398646296,0.08850081503649469,0.08761037099663006,14251,auto
approved,0.03646131748280389,3,ridge,0.04159096835402954,0.021915440809734763,1.8977929175649972,0.05772336656473069,-0.001342045460473236,0.08445859327331046,0.08580063873378369,14251,auto
approved,,3,lasso,,,,,,,,14251,auto
approved,0.047060656561235634,3,rf,0.015605662053578231,0.017271526041827814,0.9035485350735524,0.36623484127110784,-0.01737208917027952,0.04981193929059795,0.06718402846087747,14251,auto
approved,0.043935554553014435,3,lgbm,-0.0008337805732782227,0.0195138352357123,-0.042727662871331396,0.9659186279186832,-0.03701140715316583,0.03716560202138888,0.07417700917455472,14251,auto
approved,0.05145177936141805,3,xgb,-0.0018088822723605087,0.01743407611272378,-0.10375555668478158,0.9173633366662322,-0.0353450522450088,0.0327191612340002,0.068064213479009,14251,auto
approved,0.03537962806840708,3,nnet,0.058114618425362016,0.023117090206747792,2.5139244561323975,0.011939600605161794,0.012877854592944382,0.10338892463697646,0.09051107004403208,14251,auto
approved,,3,sl,,,,,,,,14251,auto
approved,0.04481257732435884,4,nocov,-0.005058802381869321,0.021575786724767988,-0.23446664756201238,0.8146227229684939,-0.04735778488978602,0.03721316391531344,0.08457094880509947,9196,auto
approved,0.0400746225569609,4,ridge,0.0078009623968396825,0.023688548647877148,0.3293136490883652,0.7419186284911401,-0.03863842212517264,0.054071927663505964,0.0927103497886786,9196,auto
approved,,4,lasso,,,,,,,,9196,auto
approved,0.04945994148385127,4,rf,-0.00822092150340474,0.01971606256676432,-0.4169656834657686,0.6767035084863668,-0.04594552612330156,0.030935636799064033,0.07688116292236559,9196,auto
approved,0.048727782227381534,4,lgbm,-0.009603794629606376,0.020147363308090718,-0.4766774928682461,0.6335917922819954,-0.04957014325225688,0.03122947689949185,0.08079962015174873,9196,auto
approved,0.045883903139249976,4,xgb,-0.0075460682536202025,0.02073519367132738,-0.3639256219754968,0.715913551115376,-0.047614031057963496,0.03350397674656428,0.08111800780452777,9196,auto
approved,0.03606541175003924,4,nnet,0.0592739702266386,0.025234048399402447,2.3489679217720068,0.018825528588822592,0.009934314744250598,0.10915403872479654,0.09921972398054593,9196,auto
approved,,4,sl,,,,,,,,9196,auto
originated,0.0338054388463492,1,nocov,0.03534424839989213,0.01790874935529371,1.9735743517703876,0.04843016251206922,0.00024448468576934723,0.07045092778499626,0.07020644309922691,28150,auto
originated,0.033190263826193445,1,ridge,0.028763379852506574,0.01806749195920349,1.59199627250171,0.11138554209467728,-0.006635561864017741,0.06416232156903089,0.07079788343304863,28150,auto
originated,,1,lasso,,,,,,,,28150,auto
originated,0.03912671176787365,1,rf,-0.0001228001775133024,0.017406230299924413,-0.0070549553462954965,0.9943710067468218,-0.03391720444265135,0.03415538565888663,0.06807259010153799,28150,auto
originated,0.04181833727656168,1,lgbm,-0.004098290826445034,0.01750786583508495,-0.23408283254217369,0.8149206733691778,-0.03830040075420862,0.029656876857542102,0.06795727761175072,28150,auto
originated,0.04989221887671806,1,xgb,-0.00018155288026814632,0.01679517498800258,-0.010809823678397893,0.9913751765540577,-0.03322343762966311,0.03300552620284031,0.06622896383250342,28150,auto
originated,0.028977198538343258,1,nnet,0.03888511461506823,0.019033342194367208,2.0429998167413825,0.04105245626025387,0.0015804494086819401,0.07618977982145453,0.0746093304127726,28150,auto
originated,,1,sl,,,,,,,,28150,auto
originated,0.033763374352279475,2,nocov,0.07385623087065323,0.02390045369779133,3.0901602038407483,0.002000485604157005,0.027012260896802857,0.12071577679435946,0.0937035158975566,19944,auto
