approved,diff_log_loan_amount,below_limit,applicant_income_log,log_loan_amount,agency_1,agency_2,agency_3,agency_5,agency_7,agency_9,loan_purpose,occupancy,year
1.0,-0.1751530673153425,1.0,5.703782474656201,5.857933154483459,1.0,0.0,0.0,0.0,0.0,0.0,1,1,2006
1.0,0.0306989868888063,0.0,4.990432586778736,6.063785208687608,1.0,0.0,0.0,0.0,0.0,0.0,1,1,2006
1.0,-0.0567353125008676,1.0,4.976733742420574,5.976350909297934,1.0,0.0,0.0,0.0,0.0,0.0,1,1,2006
0.0,0.1551779012837881,0.0,5.308267697401205,6.18826412308259,1.0,0.0,0.0,0.0,0.0,0.0,1,1,2006
1.0,0.1815218766233899,0.0,5.771441123130016,6.214608098422191,0.0,1.0,0.0,0.0,0.0,0.0,1,1,2006
0.0,0.1815218766233899,0.0,5.771441123130016,6.214608098422191,0.0,1.0,0.0,0.0,0.0,0.0,1,1,2006
1.0,-0.1469821903486456,1.0,5.375278407684165,5.886104031450156,0.0,1.0,0.0,0.0,0.0,0.0,1,1,2006
1.0,0.1175165466474776,0.0,4.6443908991413725,6.150602768446279,0.0,1.0,0.0,0.0,0.0,0.0,1,1,2006
1.0,-0.0618243820083392,1.0,5.214935757608986,5.971261839790462,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2006
1.0,-0.0072202479734873,1.0,5.703782474656201,6.025865973825314,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2006
1.0,-0.0929149690783699,1.0,5.517452896464707,5.940171252720432,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2006
1.0,-0.0072202479734873,1.0,4.852030263919617,6.025865973825314,0.0,0.0,0.0,1.0,0.0,0.0,1,1,2006
1.0,-0.1609684323233855,1.0,5.159055299214529,5.872117789475416,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2006
0.0,-0.1525532353981011,1.0,5.25227342804663,5.8805329864007,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2006
1.0,0.0166472334331562,0.0,5.056245805348308,6.049733455231958,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2006
1.0,-0.0695068781803556,1.0,5.049856007249537,5.963579343618446,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2006
1.0,-0.0366341331797803,1.0,5.075173815233827,5.996452088619021,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2006
1.0,-0.0366341331797803,1.0,5.075173815233827,5.996452088619021,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2006
0.0,-0.0929149690783699,1.0,5.278114659230517,5.940171252720432,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2006
1.0,0.0,1.0,4.672828834461906,6.0330862217988015,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2013
