originated,diff_log_loan_amount,below_limit,applicant_income_log,log_loan_amount,agency_1,agency_2,agency_3,agency_5,agency_7,agency_9,loan_purpose,occupancy,year
1.0,0.0,1.0,4.61512051684126,6.0330862217988015,1.0,0.0,0.0,0.0,0.0,0.0,1,1,2007
1.0,-0.1780142995963745,1.0,5.0369526024136295,5.855071922202427,1.0,0.0,0.0,0.0,0.0,0.0,1,1,2007
1.0,-0.0072202479734873,1.0,4.663439094112067,6.025865973825314,1.0,0.0,0.0,0.0,0.0,0.0,1,1,2007
1.0,-0.1061601958283908,1.0,5.991464547107982,5.926926025970411,1.0,0.0,0.0,0.0,0.0,0.0,1,1,2007
1.0,0.1489986849178306,0.0,5.135798437050262,6.182084906716632,1.0,0.0,0.0,0.0,0.0,0.0,1,1,2007
1.0,-0.0416216746908197,1.0,5.247024072160486,5.991464547107982,1.0,0.0,0.0,0.0,0.0,0.0,1,1,2007
1.0,-0.1469821903486456,1.0,5.480638923341991,5.886104031450156,1.0,0.0,0.0,0.0,0.0,0.0,1,1,2007
1.0,-0.1609684323233855,1.0,4.736198448394496,5.872117789475416,1.0,0.0,0.0,0.0,0.0,0.0,1,1,2007
0.0,-0.0441248049089377,1.0,5.342334251964811,5.988961416889864,0.0,1.0,0.0,0.0,0.0,0.0,1,1,2007
1.0,-0.0567353125008676,1.0,5.181783550292085,5.976350909297934,0.0,1.0,0.0,0.0,0.0,0.0,1,1,2007
1.0,-0.0416216746908197,1.0,4.564348191467836,5.991464547107982,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2007
1.0,-0.1469821903486456,1.0,5.0106352940962555,5.886104031450156,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2007
1.0,0.0,1.0,4.983606621708336,6.0330862217988015,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2007
1.0,-0.0096386288377683,1.0,5.616771097666572,6.023447592961033,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2007
1.0,-0.1609684323233855,1.0,4.804021044733257,5.872117789475416,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2007
1.0,0.0,1.0,5.19295685089021,6.0330862217988015,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2007
1.0,-0.0096386288377683,1.0,5.572154032177765,6.023447592961033,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2007
0.0,-0.1034970784089068,1.0,5.703782474656201,5.929589143389895,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2007
0.0,-0.1034970784089068,1.0,5.703782474656201,5.929589143389895,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2007
1.0,-0.0048077015681036,1.0,5.4680601411351315,6.028278520230698,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2007
0.0,-0.1034970784089068,1.0,5.703782474656201,5.929589143389895,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2007
1.0,0.076161360965564,0.0,5.3471075307174685,6.1092475827643655,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2014
1.0,-0.0024009615375382,1.0,5.493061443340548,6.030685260261263,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2014
1.0,0.1406998821031351,0.0,6.100318952020064,6.173786103901937,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2014
1.0,-0.1666181648655049,1.0,4.762173934797756,5.8664680569332965,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
0.0,-0.0902868466721003,1.0,4.983606621708336,5.942799375126701,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2014
1.0,0.1302285822358397,0.0,5.857933154483459,6.163314804034641,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2014
1.0,-0.1304528883974356,1.0,5.25227342804663,5.902633333401366,0.0,0.0,0.0,1.0,0.0,0.0,1,1,2014
0.0,0.1815218766233899,0.0,4.897839799950911,6.214608098422191,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2014
0.0,-0.0416216746908197,1.0,4.700480365792417,5.991464547107982,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2014
1.0,0.076161360965564,0.0,4.330733340286331,6.1092475827643655,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2014
