securitized,diff_log_loan_amount,below_limit,applicant_income_log,log_loan_amount,agency_1,agency_2,agency_3,agency_5,agency_7,agency_9,loan_purpose,occupancy,year
0.0,-0.1250032836298702,1.0,5.389071729816501,5.908082938168931,1.0,0.0,0.0,0.0,0.0,0.0,1,1,2008
1.0,0.0,1.0,5.480638923341991,6.0330862217988015,1.0,0.0,0.0,0.0,0.0,0.0,1,1,2008
1.0,-0.1553504400191627,1.0,4.48863636973214,5.877735781779639,1.0,0.0,0.0,0.0,0.0,0.0,1,1,2008
0.0,-0.0516720105443209,1.0,4.477336814478207,5.981414211254481,0.0,1.0,0.0,0.0,0.0,0.0,1,1,2008
0.0,0.1694492953891213,0.0,5.7430031878094825,6.202535517187923,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2008
1.0,-0.0416216746908197,1.0,5.123963979403259,5.991464547107982,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2008
1.0,0.0,1.0,4.48863636973214,6.0330862217988015,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2008
0.0,-0.1924445644254033,1.0,5.0369526024136295,5.840641657373398,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2008
0.0,-0.1982754847361967,1.0,5.176149732573829,5.834810737062605,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2015
1.0,-0.1034970784089068,1.0,6.008813185442595,5.929589143389895,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2015
1.0,-0.1866474467410768,1.0,4.795790545596741,5.846438775057725,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2015
0.0,0.0,1.0,4.736198448394496,6.0330862217988015,1.0,0.0,0.0,0.0,0.0,0.0,1,1,2015
0.0,0.0,1.0,4.718498871295094,6.0330862217988015,0.0,1.0,0.0,0.0,0.0,0.0,1,1,2015
0.0,-0.0144930073025673,1.0,4.672828834461906,6.018593214496234,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
1.0,-0.172299998332936,1.0,5.934894195619588,5.860786223465865,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2015
0.0,-0.1061601958283908,1.0,5.0689042022202315,5.926926025970411,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2015
0.0,-0.172299998332936,1.0,4.882801922586371,5.860786223465865,0.0,0.0,0.0,1.0,0.0,0.0,1,1,2015
1.0,-0.0824436692110746,1.0,5.0106352940962555,5.950642552587727,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2015
0.0,-0.0048077015681036,1.0,5.616771097666572,6.028278520230698,1.0,0.0,0.0,0.0,0.0,0.0,1,1,2015
0.0,0.0,1.0,5.3612921657094255,6.0330862217988015,1.0,0.0,0.0,0.0,0.0,0.0,1,1,2015
0.0,0.0306989868888063,0.0,4.941642422609304,6.063785208687608,1.0,0.0,0.0,0.0,0.0,0.0,1,1,2015
0.0,0.0,1.0,4.61512051684126,6.0330862217988015,1.0,0.0,0.0,0.0,0.0,0.0,1,1,2015
0.0,0.0,1.0,4.976733742420574,6.0330862217988015,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2015
0.0,0.0,1.0,5.863631175598097,6.0330862217988015,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2015
0.0,0.0,1.0,4.418840607796598,6.0330862217988015,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2015
1.0,-0.0072202479734873,1.0,4.634728988229636,6.025865973825314,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2015
0.0,-0.0416216746908197,1.0,4.382026634673881,5.991464547107982,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2015
1.0,-0.0929149690783699,1.0,5.703782474656201,5.940171252720432,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2015
1.0,-0.1751530673153425,1.0,4.990432586778736,5.857933154483459,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2015
